id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Freight,Anvil Theory,metal,aggressive,0.95,170,0.30,0.45,0.03
12,Golden Hour,Amber Keys,classical,serene,0.22,66,0.78,0.30,0.95
13,XO Tour Llif3,Lil Uzi Vert,hip-hop,energetic,0.88,105,0.72,0.85,0.08
14,Velvet Dusk,Sable Moon,r&b,romantic,0.55,92,0.82,0.70,0.40
15,Neon Rodeo,Dusty Wires,country,nostalgic,0.60,120,0.68,0.74,0.72
16,Bass Cathedral,Glitch Forge,electronic,euphoric,0.89,140,0.75,0.90,0.04
17,Rainy Balcony,Fern & Ivy,folk,melancholy,0.30,82,0.35,0.42,0.91
18,Turbo Funk,Groove Circuit,funk,playful,0.84,115,0.88,0.92,0.12
19,Island Breeze,Coral Drift,reggae,carefree,0.52,96,0.80,0.76,0.55
20,Phantom Waltz,Echo Chamber,darkwave,haunting,0.68,128,0.28,0.58,0.18
